X,Y,FID,MA_DVHC_H,TEN_DVHC_H,DIEN_TICH,DAN_SO,TEN_TINH,GHI_CHU
549100.612383366,2332866.36650094,0,269,Thị xã Sơn Tây,113.47,182000,Thành phố Hà Nội, 
559285.797606441,2334219.36250058,1,272,Huyện Phúc Thọ,117.05,156322,Thành phố Hà Nội, 
557520.756286811,2324829.86420007,2,276,Huyện Thạch Thất,202.51,179060,Thành phố Hà Nội, 
538905.96343586,2339424.11294918,3,271,Huyện Ba Vì,425.33,253474,Thành phố Hà Nội, 
567508.564554784,2308831.81764715,4,277,Huyện Chương Mỹ,232.27,276191,Thành phố Hà Nội, 
594760.348029542,2292399.56739958,5,280,Huyện Phú Xuyên,171.05,184512,Thành phố Hà Nội, 
590493.194158981,2303808.35944959,6,279,Huyện Thường Tín,127.7,202570,Thành phố Hà Nội, 
565428.239311033,2319854.00440024,7,275,Huyện Quốc Oai,147,163355,Thành phố Hà Nội, 
573604.72245326,2342301.72399986,8,250,Huyện Mê Linh,141.65,187255,Thành phố Hà Nội, 
574498.213192175,2288810.85318994,9,282,Huyện Mỹ Đức,230.04,171376,Thành phố Hà Nội, 
584869.706466778,2290311.7393503,10,281,Huyện ứng Hòa,183.71,193731,Thành phố Hà Nội, 
586009.284395258,2353500.5107497,11,016,Huyện Sóc Sơn,306.5,259319,Thành phố Hà Nội, 
587896.760728532,2337559.24603189,12,017,Huyện Đông Anh,182.14,277195,Thành phố Hà Nội, 
579192.637132685,2330371.03723158,13,021,Quận Bắc Từ Liêm,43.35,320414,Thành phố Hà Nội, 
585542.842518187,2329966.84501772,14,003,Quận Tây Hồ,24.01,105221,Thành phố Hà Nội, 
578802.182349049,2324271.23058098,15,019,Quận Nam Từ Liêm,32.27,232894,Thành phố Hà Nội, 
582242.108409265,2325693.66060394,16,005,Quận Cầu Giấy,12.01,155020,Thành phố Hà Nội, 
585690.367357252,2326224.68451598,17,001,Quận Ba Đình,9.25,228352,Thành phố Hà Nội, 
588752.367052916,2325804.85675026,18,002,Quận Hoàn Kiếm,5.4,178073,Thành phố Hà Nội, 
589163.99158169,2323124.2246617,19,007,Quận Hai Bà Trưng,10.09,305611,Thành phố Hà Nội, 
585594.543017462,2323933.09883129,20,006,Quận Đống Đa,10.15,367401,Thành phố Hà Nội, 
585170.918760619,2321767.77506823,21,009,Quận Thanh Xuân,9.08,190212,Thành phố Hà Nội, 
589060.555400055,2319569.7585759,22,008,Quận Hoàng Mai,40.14,216277,Thành phố Hà Nội, 
579011.690119073,2317189.84978061,23,268,Quận Hà Đông,47.91,198687,Thành phố Hà Nội, 
581195.094996145,2306873.6622301,24,278,Huyện Thanh Oai,123.78,167166,Thành phố Hà Nội, 
587080.291435927,2315920.92869716,25,020,Huyện Thanh Trì,62.93,158390,Thành phố Hà Nội, 
593328.089889995,2326540.29721511,26,004,Quận Long Biên,59.93,177602,Thành phố Hà Nội, 
600823.697415647,2325055.76263039,27,018,Huyện Gia Lâm,114.97,218431,Thành phố Hà Nội, 
570487.261700857,2335441.6546156,28,273,Huyện Đan Phượng,76.57,132921,Thành phố Hà Nội, 
573152.340904492,2324829.01433049,29,274,Huyện Hoài Đức,82.39,169566,Thành phố Hà Nội, 
